Date,Open,High,Low,Close,Volume,Adj Close
2015-02-27,7.40,7.56,7.23,7.51,8672500,7.51
2015-02-26,6.90,7.69,6.70,7.68,14620700,7.68
2015-02-25,6.12,6.70,5.95,6.48,9260700,6.48
2015-02-24,6.32,6.42,5.78,6.32,14435400,6.32
2015-02-23,5.95,6.52,5.83,6.37,10767400,6.37
2015-02-20,5.81,6.10,5.62,5.86,22324000,5.86
2015-02-19,6.66,6.95,6.36,6.68,18827800,6.68
2015-02-18,7.13,7.37,6.57,6.81,11464000,6.81
2015-02-17,7.12,7.72,7.05,7.09,8783300,7.09
2015-02-13,7.90,8.00,6.96,7.10,11880600,7.10
2015-02-12,7.03,7.89,6.95,7.59,8814900,7.59
2015-02-11,6.63,7.43,6.63,6.88,11116000,6.88
2015-02-10,8.16,8.39,7.43,7.99,7987800,7.99
2015-02-09,8.82,9.15,8.65,8.77,5469100,8.77
2015-02-06,8.88,9.12,8.59,9.07,6428000,9.07
2015-02-05,8.63,9.05,8.32,8.87,8424000,8.87
2015-02-04,7.77,8.38,7.77,8.25,4975500,8.25
2015-02-03,8.28,8.49,7.28,7.53,9118300,7.53
2015-02-02,8.36,8.85,8.10,8.22,7343700,8.22
2015-01-30,8.27,8.45,7.90,8.15,6745400,8.15
2015-01-29,6.99,8.21,6.87,7.86,14541000,7.86
2015-01-28,6.91,7.28,6.73,6.91,7392700,6.91
2015-01-27,6.51,6.64,6.17,6.63,10489500,6.63
2015-01-26,6.85,7.24,6.49,6.96,6723300,6.96
2015-01-23,6.65,6.74,6.27,6.47,7944600,6.47
2015-01-22,6.96,7.75,6.82,7.13,9858500,7.13
2015-01-21,6.87,7.32,6.41,6.54,9489800,6.54
2015-01-20,6.94,7.57,6.90,7.04,11719500,7.04
2015-01-16,6.37,6.39,5.46,6.10,12177200,6.10
2015-01-15,5.26,6.29,4.90,5.67,16938100,5.67
2015-01-14,6.42,6.51,5.11,5.12,18352100,5.12
2015-01-13,8.40,8.57,7.32,7.47,9086200,7.47
2015-01-12,8.12,8.92,8.09,8.73,9427200,8.73
2015-01-09,7.56,8.11,7.40,7.53,6593500,7.53
2015-01-08,8.39,8.52,7.59,7.68,10217500,7.68
2015-01-07,7.66,8.65,7.18,8.16,10720500,8.16
2015-01-06,8.25,8.63,7.63,7.69,7277700,7.69
2015-01-05,6.74,8.28,6.74,7.79,6883300,7.79
2015-01-02,7.61,7.71,6.57,7.70,8148400,7.70
2014-12-31,7.35,8.39,7.25,8.04,11030900,8.04
2014-12-30,6.97,7.04,6.79,6.90,3527000,6.90
2014-12-29,7.02,7.16,6.26,6.49,9508700,6.49
2014-12-26,7.44,7.77,7.27,7.39,7017400,7.39
2014-12-24,6.83,7.45,6.77,7.23,5436300,7.23
2014-12-23,6.77,6.88,6.37,6.49,9178700,6.49
2014-12-22,6.32,6.71,6.12,6.30,14899800,6.30
2014-12-19,5.04,5.29,4.98,5.20,13829500,5.20
2014-12-18,4.17,4.58,4.08,4.45,9967800,4.45
2014-12-17,4.41,4.59,4.38,4.46,5795800,4.46
2014-12-16,4.63,4.79,4.50,4.65,13456200,4.65
2014-12-15,4.10,4.43,4.02,4.33,7064900,4.33
2014-12-12,4.32,4.42,4.05,4.22,12236900,4.22
2014-12-11,4.46,4.78,4.21,4.62,13088400,4.62
2014-12-10,4.61,4.76,4.33,4.48,10492700,4.48
2014-12-09,4.77,4.83,4.44,4.73,12668200,4.73
2014-12-08,4.59,4.93,4.55,4.79,6862200,4.79
2014-12-05,4.51,4.62,4.14,4.24,12949000,4.24
2014-12-04,4.49,4.86,4.46,4.84,11580200,4.84
2014-12-03,4.28,4.44,4.17,4.32,9547800,4.32
2014-12-02,3.95,4.13,3.84,4.06,24038000,4.06
2014-12-01,3.77,3.91,3.61,3.68,26894500,3.68
2014-11-28,3.19,3.36,3.17,3.32,17138500,3.32
2014-11-26,2.86,2.99,2.65,2.99,30061400,2.99
2014-11-25,3.18,3.19,2.80,2.83,21028000,2.83
2014-11-24,3.19,3.21,3.06,3.11,33083300,3.11
2014-11-21,2.76,2.89,2.70,2.87,28288700,2.87
2014-11-20,2.61,2.90,2.50,2.56,60356900,2.56
2014-11-19,2.68,2.77,2.50,2.71,52050300,2.71
2014-11-18,3.05,3.23,2.88,3.02,14895400,3.02
2014-11-17,3.39,3.39,2.90,2.98,12002000,2.98
2014-11-14,3.79,3.99,3.60,3.62,10357800,3.62
2014-11-13,3.56,3.91,3.44,3.84,11322500,3.84
2014-11-12,3.37,3.46,3.30,3.43,7702700,3.43
2014-11-11,3.41,3.42,3.11,3.30,12118100,3.30
2014-11-10,2.92,3.25,2.83,3.13,11631600,3.13
2014-11-07,3.13,3.18,2.78,2.98,14724400,2.98
2014-11-06,3.50,3.66,2.85,2.91,21792400,2.91
2014-11-05,3.44,3.59,3.40,3.46,7115000,3.46
2014-11-04,3.81,3.85,3.50,3.59,8281100,3.59
2014-11-03,3.99,4.07,3.87,3.91,7851300,3.91
2014-10-31,4.37,4.59,4.25,4.46,6746300,4.46
2014-10-30,4.66,4.81,4.61,4.63,6485200,4.63
2014-10-29,4.84,4.91,4.55,4.78,7162000,4.78
2014-10-28,5.38,5.49,4.90,4.97,8745200,4.97
2014-10-27,5.41,5.50,5.22,5.43,5847300,5.43
2014-10-24,5.32,5.42,5.14,5.15,6659000,5.15
2014-10-23,5.13,5.27,4.90,5.03,10412400,5.03
2014-10-22,4.92,5.01,4.82,4.98,3684800,4.98
2014-10-21,4.94,5.02,4.76,4.80,4309600,4.80
2014-10-20,4.81,4.95,4.80,4.89,4136800,4.89
2014-10-17,4.58,4.75,4.54,4.56,15357900,4.56
2014-10-16,4.48,4.67,4.43,4.47,26569200,4.47
2014-10-15,4.56,4.62,4.44,4.46,13319900,4.46
2014-10-14,4.07,4.46,4.04,4.42,5107800,4.42
2014-10-13,4.30,4.33,4.10,4.17,2522800,4.17
2014-10-10,4.27,4.38,4.22,4.30,4009700,4.30
2014-10-09,4.37,4.45,4.04,4.28,17557600,4.28
2014-10-08,4.17,4.36,4.13,4.31,7360700,4.31
2014-10-07,4.17,4.19,3.99,4.07,4645400,4.07
2014-10-06,4.16,4.22,4.09,4.15,9241400,4.15
2014-10-03,4.05,4.07,3.78,3.82,9510700,3.82
2014-10-02,3.99,4.21,3.92,4.03,21460400,4.03
2014-10-01,3.55,3.89,3.53,3.87,9495500,3.87
2014-09-30,3.59,3.68,3.55,3.62,10068300,3.62
2014-09-29,3.81,3.85,3.52,3.66,13803900,3.66
